ES10011	毕业实习
GE13025	环境学概论
GE13026	环境生态学导论
GE13027	人与环境
GE13056	环境保护概论
CE04022	机械设计基础A
EM04009	机械设计基础B
EM04011	材料力学A（2）
EM04012	固体力学基础
EM06011N	断裂力学
EM06024	数理方法
EM06026	计算材料力学
EP04011	机械设计A
EP04013	材料力学A
EP04015	工程热力学
EP05012	内燃机学
EP06003N	发动机电子控制
EP06006	换热器原理与设备
EP06021	热动力设备排放污染及控制
EP06023	发动机性能数值式开发技术
EP06025	动力总成匹配技术
EP06026	汽车底盘构造
EP06030	制冷压缩机
EP10019	毕业实习
EP10020	毕业论文（设计）
ES04004	流体力学
GE13001	现代汽车概论
GE13003	汽车环保概论
GE13004	电动汽车概论
GE13008	工程项目管理
GE13032	生产管理学
GE13061	新能源汽车环保概论
GE14169	3D打印技术概论及创新应用 
GE14190	神奇的仿生机械
GE15056	桥牌艺术
GE17002	发明、创新与创业(1)(英语）
ME04002	机械工程图学（2）
ME04019	工程材料
ME04022	流体力学
ME04025	机械设计
ME04031	机械设计基础
ME04032	流体力学
ME04034	材料力学B
ME04035	热工学基础
ME04036	机械原理
ME05002	汽车理论
ME05003	汽车设计
ME05033	机械制造技术
ME05034	机械制造装备
ME05035	互换性与测量技术基础
ME05037	微机原理
ME05039	汽车构造及发动机原理
ME05040	汽车电子技术
ME05041	汽车制造工艺
ME05048	质量管理与可靠性
ME05049	管理信息系统
ME05050	有限元法
ME05051	复合材料力学
ME05054	液压与气压传动
ME06046	数据库原理及应用
ME06075	生物力学导论
ME06085	模具设计与制造工艺
ME06099	工业工程专业英语
ME06100	数控技术
ME06101	计算机控制技术
ME06104	机电系统建模与仿真
ME06107	现代工程机械发动机与底盘构造
ME06113	有限元分析
ME06116	汽车试验学
ME06128	设施规划与物流分析
ME06131	非线性振动
ME06134	工程优化设计
ME06137	机械制造技术
ME06139	结构力学
ME06140	高等动力学
ME06150	人工智能
ME06152	先进设计方法
ME06154	工业网络原理及应用
ME06173	图像识别与处理
ME06189	机器人导论
ME06195	C/C++及MATLAB工程软件编程基础
ME06800	通向国际工程师之路
ME07007	成本控制
ME07018	机械CAM技术
ME10005	机电控制综合实验
ME10009	机械原理课程设计
ME10012	计算机辅助生产管理课程设计
ME10021	毕业实习
ME10031	机械综合实验(1)
ME10033	机械设计课程设计
ME10037	毕业设计（论文）
ME10041	设施规划与物流课程设计
ME10044	机械设计基础课程设计
ME10048	毕业设计（论文）
MOOC058	创业实践案例课程
A2004005M	绿色建筑及集成化设计
A2004009M	建筑与城市设计（I）
A2004018M	建筑文化遗产保护与利用方法
A2004040M	中外城市历史与城市文化比较
A2004044M	现代城市规划理论
AR03015	中国建筑史
AR03024	专业美术I
AR03035	设计基础II
AR03037	环境心理学
AR03038	专业美术II
AR04009	居住区规划
AR04010	居住建筑设计原理
AR04029	景观建筑学
AR04034	公共建筑设计原理
AR04035	建筑设计II
AR05014	建筑设计（4）
AR05023	建筑设计（6）
AR05034	城市规划管理与法规
AR05035	道路交通规划
AR05036	城市规划原理(2)
AR05039	控制性详细规划与设计
AR05041	城市社会与心理导论
AR05042	城乡基础设施规划
AR05053	建筑材料
AR05071	城乡信息系统应用
AR06010	城市开发与房地产经济
AR06012	城市设计
AR06015	村镇规划
AR06029	建筑安全
AR06037	建筑经济
AR06049N	建筑物理II（声环境）
AR06050N	建筑师业务与建筑法规概论
AR06051	建筑施工
AR06056	可持续建筑技术B
AR06058	历史建筑保护及更新
AR06077	中国近现代建筑
AR06091	乡村互助自建住宅
AR06106	历史建筑保护与更新
AR06138	设计艺术史
